Country.of.Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,Rec_Cnt
Africa,7.759444444444444,7.709444444444445,7.623888888888889,7.739074074074074,7.680740740740741,7.689938271604938,9.954567901234569,9.979320987654322,9.813148148148148,0.10092592592592593,0.16666666666666666,0.17901234567901234,3.734567901234568,162
Asia,7.539120879120879,7.499285714285714,7.40923076923077,7.478406593406593,7.5090659340659345,7.473186813186812,9.908186813186813,9.970604395604395,9.761813186813187,0.07906593406593407,0.11538461538461539,0.7527472527472527,1.5384615384615385,182
North America,7.504345864661655,7.445714285714285,7.300766917293234,7.4966766917293235,7.450977443609022,7.432496240601504,9.75263157894737,9.734225563909774,9.852992481203007,0.09685714285714285,0.1293233082706767,0.5669172932330827,4.518796992481203,665
Oceania,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0.12,0.0,0.0,1.0,1
South America,7.613414634146341,7.589878048780488,7.491585365853658,7.5459146341463414,7.574756097560975,7.629176829268292,9.902865853658536,9.894268292682927,9.937469512195122,0.07003048780487804,0.29878048780487804,0.3018292682926829,2.6463414634146343,328
